crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository
lz4-sys,33510080,8684250,2024-09-26T11:51:34.999693Z,2016-11-26T20:22:03.426256Z,1.11.1+lz4-1.10.0,Rust LZ4 sys package.,https://github.com/10xGenomics/lz4-rs
lzf,73948,4890,2022-11-06T13:07:21.064579Z,2014-11-22T13:27:55.538815Z,1.0.0,"DEPRECATED! An implementation of LZF, a very small data compression algorithm",https://github.com/badboy/lzf-rs
lzw,4028386,276342,2016-02-28T18:58:07.077733Z,2015-04-01T07:16:13.458340Z,0.10.0,LZW compression and decompression.,https://github.com/nwin/lzw.git
mach,25809700,3453090,2019-06-01T11:04:57.829203Z,2015-02-01T02:40:31.538953Z,0.3.2,A Rust interface to the user-space API of the Mach 3.0 kernel that underlies OSX.,https://github.com/fitzgen/mach
magic-crypt,441889,50102,2024-11-02T08:51:05.425314Z,2018-08-24T12:46:36.910607Z,4.0.1,"MagicCrypt is a Java/PHP/NodeJS/Rust library to encrypt/decrypt strings, files, or data, using Data Encryption Standard(DES) or Advanced Encryption Standard(AES) algorithms. It supports CBC block cipher mode, PKCS7 padding and 64, 128, 192 or 256-bits key length.",https://github.com/magiclen/rust-magiccrypt
magnetic,16186,3879,2025-02-21T03:52:56.988767Z,2016-03-05T20:02:55.531373Z,2.5.1,Low-latency lock-free queues,https://github.com/johnshaw/magnetic
mail-internals,11771,920,2019-03-26T15:05:00.315415Z,2018-11-23T19:16:45.469706Z,0.2.3,[mail-api] _internal_ parts for the mail-api crates,https://github.com/1aim/mail
maligned,71853,11178,2020-05-13T19:32:07.509310Z,2019-07-11T21:55:34.489328Z,0.2.1,A memory alignment library,https://github.com/tylerhawkes/maligned
mapr,563861,5108,2020-09-25T18:26:16.348088Z,2020-09-25T18:26:16.348088Z,0.8.0,Cross-platform Rust API for memory-mapped file IO,https://github.com/filecoin-project/mapr
marc,35914,3663,2023-09-05T08:45:53.793731Z,2015-03-22T12:03:18.913022Z,3.1.1,Reader and builder for MARC 21 Bibliographic format,https://github.com/blackbeam/rust-marc
markdown,1302252,249440,2025-02-28T13:44:23.069075Z,2015-01-25T12:15:24.148613Z,1.0.0-alpha.23,CommonMark compliant markdown parser in Rust with ASTs and extensions,https://github.com/wooorm/markdown-rs
matrix-sdk,114570,14616,2025-02-04T15:40:51.789629Z,2020-05-26T19:43:47.517962Z,0.10.0,A high level Matrix client-server library.,https://github.com/matrix-org/matrix-rust-sdk
matrix-sdk-crypto,93524,14874,2025-02-04T15:38:37.464893Z,2020-05-26T17:51:35.376197Z,0.10.0,Matrix encryption library,https://github.com/matrix-org/matrix-rust-sdk
max7301,3763,485,2021-07-27T05:51:43.015226Z,2019-03-10T03:34:28.984842Z,0.3.0,Driver for the MAX7301 serial I/O expander,https://github.com/edarc/max7301
may_queue,53751,5829,2024-09-01T06:57:07.428958Z,2017-08-06T11:40:30.331025Z,0.1.23,May's internal queue library,https://github.com/Xudong-Huang/may.git
mdbook,6160511,623492,2025-03-31T21:07:33.374641Z,2015-08-06T21:44:48.069739Z,0.4.48,Creates a book from markdown files,https://github.com/rust-lang/mdBook
memmap,20475819,2371985,2018-09-20T05:11:46.005513Z,2015-08-22T02:57:41.545776Z,0.7.0,Cross-platform Rust API for memory-mapped file IO,https://github.com/danburkert/memmap-rs
memoffset,313234984,39967590,2024-03-26T19:58:31.849513Z,2017-10-17T06:16:56.082296Z,0.9.1,offset_of functionality for Rust structs.,https://github.com/Gilnaa/memoffset
messagepack-rs,19664,2947,2021-11-25T11:08:36.701580Z,2019-08-05T07:55:46.765918Z,0.8.1,messagepack-rs is pure Rust MessagePack implementation,https://github.com/otake84/messagepack-rs
metrics-util,22860542,5668752,2025-01-06T15:15:19.261508Z,2019-04-23T20:33:21.264380Z,0.19.0,Helper types/functions used by the metrics ecosystem.,https://github.com/metrics-rs/metrics
mimalloc,10657636,2165765,2025-04-07T19:30:52.783451Z,2019-06-24T19:57:57.202544Z,0.1.46,Performance and security oriented drop-in allocator,https://github.com/purpleprotocol/mimalloc_rust
minitrace,782852,20311,2024-06-23T09:27:48.964437Z,2022-01-14T18:17:27.763629Z,0.6.7,A high-performance timeline tracing library for Rust,https://github.com/tikv/minitrace-rust
mio,310714501,46494663,2024-11-29T16:55:05.717773Z,2014-11-11T23:52:39.666778Z,1.0.3,Lightweight non-blocking I/O.,https://github.com/tokio-rs/mio
miow,41016617,1137212,2023-08-05T19:46:05.681337Z,2015-10-28T16:48:07.632796Z,0.6.0,"A zero overhead I/O library for Windows, focusing on IOCP and async I/O
abstractions.
",https://github.com/yoshuawuyts/miow
miscreant,83836,3323,2021-08-25T14:03:15.186847Z,2017-07-24T05:01:52.076655Z,0.0.0,DEPRECATED: please switch to the `aes-siv` or `aes-gcm-siv` crates,https://github.com/RustCrypto/AEADs/tree/master/aes-siv
mmap,577029,106587,2015-12-16T00:01:49.263868Z,2015-04-09T03:30:04.545183Z,0.1.1,"A library for dealing with memory-mapped I/O
",https://github.com/rbranson/rust-mmap
model,303299,2253,2019-01-05T11:08:27.757516Z,2018-05-12T19:15:33.864884Z,0.1.2,"model-based testing for data structures, with linearizability checking",https://github.com/spacejam/model
molecule,540038,31805,2025-03-17T04:25:36.868499Z,2019-07-16T20:12:25.368852Z,0.9.0,Rust bindings for molecule.,https://github.com/nervosnetwork/molecule
mopa,930359,44663,2016-04-05T05:44:02.436451Z,2015-01-06T12:40:13.083685Z,0.2.2,My Own Personal Any: get your own Any with additional functionality,https://github.com/chris-morgan/mopa
mozjpeg,516587,98873,2025-02-18T13:27:52.921714Z,2018-04-04T01:59:36.729628Z,0.10.13,Higher-level wrapper for Mozilla's JPEG library,https://github.com/ImageOptim/mozjpeg-rust
mozwire,13624,1798,2023-02-14T01:11:22.435633Z,2020-08-16T03:00:43.810715Z,0.8.1,MozillaVPN wireguard configuration manager,https://github.com/NilsIrl/MozWire/
ms3d,5398,637,2021-01-29T20:23:11.465228Z,2018-01-07T21:25:43.623166Z,0.1.3,ms3d file parsing library,https://github.com/andrewhickman/ms3d
multihash,22660194,4839849,2024-12-06T21:47:17.149829Z,2015-12-28T18:03:22.539039Z,0.19.3,Implementation of the multihash format,https://github.com/multiformats/rust-multihash
multipart,16244748,924554,2021-05-29T03:47:28.226106Z,2014-11-28T23:36:47.685449Z,0.18.0,A backend-agnostic extension for HTTP libraries that provides support for POST multipart/form-data requests on both client and server.,http://github.com/abonander/multipart
multiqueue,34268,2551,2017-02-18T06:54:40.174986Z,2017-01-31T03:33:59.089553Z,0.3.2,A fast mpmc broadcast queue,https://github.com/schets/multiqueue
multiqueue2,21142,1901,2020-12-20T07:24:52.827025Z,2019-05-14T02:46:47.128748Z,0.1.7,A fast mpmc broadcast queue,https://github.com/abbychau/multiqueue2
multi_mut,53475,1560,2017-01-17T04:01:25.015012Z,2017-01-17T02:42:19.825987Z,0.1.3,Methods on HashMap and BTreeMap for safely getting multiple mutable references to the contained values.,https://github.com/golddranks/multi_mut
mz-avro,4353,321,2022-08-12T07:42:24.859736Z,2020-07-18T20:39:37.383715Z,0.7.0,Library for working with Apache Avro in Rust,https://github.com/MaterializeInc/materialize
nalgebra,25201579,6156911,2024-10-29T07:43:13.501702Z,2014-11-22T18:53:15.674678Z,0.33.2,General-purpose linear algebra library with transformations and statically-sized or dynamically-sized matrices.,https://github.com/dimforge/nalgebra
nano-id,39835,5937,2024-06-02T22:29:57.341488Z,2021-04-06T18:33:04.312411Z,0.4.0,"A tiny, secure, URL-friendly, unique string ID generator for Rust",https://github.com/viz-rs/nano-id
nanorand,29625226,5975230,2022-03-09T00:47:47.205896Z,2020-09-06T02:01:21.666498Z,0.7.0,"A tiny, fast, zero-dep library for random number generation.",https://github.com/Absolucy/nanorand-rs
nano_arena,9080,1334,2021-03-02T12:33:18.968278Z,2020-05-05T13:19:56.324497Z,0.5.2,A tiny arena allocator that uses atomics,
nats,2337671,178159,2024-04-22T17:56:32.280364Z,2015-09-08T00:44:23.958265Z,0.25.0,A Rust NATS client,https://github.com/nats-io/nats.rs
nb-connect,4433570,74319,2021-05-01T03:54:32.454987Z,2020-09-16T09:24:54.387940Z,1.2.0,Non-blocking TCP or Unix connect,https://github.com/smol-rs/nb-connect
ncollide2d,353891,24923,2022-03-18T07:56:42.233123Z,2018-04-19T09:07:52.172706Z,0.33.0,2 and 3-dimensional collision detection library in Rust. Will be superseded by the parry2d crate.,https://github.com/dimforge/ncollide
ncollide3d,570570,43781,2022-03-18T07:57:00.844880Z,2018-04-19T09:08:43.222691Z,0.33.0,2 and 3-dimensional collision detection library in Rust. Will be superseded by the parry3d crate.,https://github.com/dimforge/ncollide
ncurses,676868,46695,2024-07-12T17:40:24.069214Z,2015-02-28T17:39:36.457448Z,6.0.1,A very thin wrapper around the ncurses TUI library,https://github.com/jeaye/ncurses-rs
neon,8899734,684038,2024-10-07T21:25:11.484167Z,2015-12-17T21:01:07.320755Z,1.1.0-alpha.1,A safe abstraction layer for Node.js.,https://github.com/neon-bindings/neon
net2,47265596,1742930,2023-06-14T18:02:31.313490Z,2015-06-19T01:25:57.653522Z,0.2.39,"Extensions to the standard library's networking types as proposed in RFC 1158.
",https://github.com/deprecrated/net2-rs
nix,244364057,37635112,2024-05-24T12:23:09.842537Z,2014-11-11T22:15:48.567559Z,0.29.0,Rust friendly bindings to *nix APIs,https://github.com/nix-rust/nix
noise_search,23539,3010,2022-08-15T12:19:13.769188Z,2017-03-10T01:50:51.250364Z,0.8.0,Nested Object Inverted Search Engine,https://github.com/pipedown/noise.git
nphysics2d,166828,14051,2021-08-08T16:19:27.047553Z,2016-03-30T20:44:11.688596Z,0.24.0,2-dimensional physics engine in Rust. This crate is being superseded by the rapier3d crate.,https://github.com/rustsim/nphysics
nphysics3d,115484,9619,2021-08-08T16:19:55.765452Z,2016-03-30T21:01:04.099908Z,0.24.0,3-dimensional physics engine in Rust. This crate is being superseded by the rapier3d crate.,https://github.com/rustsim/nphysics
ntru,59101,2539,2016-12-09T16:54:46.169775Z,2015-11-04T14:10:02.921361Z,0.5.6,"Implementation of the NTRUEncrypt algorithm. Interface to libntru.
",https://github.com/FractalGlobal/ntru-rs
object_store,22359879,5092129,2025-03-09T12:03:57.238571Z,2022-05-13T15:41:59.625632Z,0.12.0,"A generic object store interface for uniformly interacting with AWS S3, Google Cloud Storage, Azure Blob Storage and local files.",https://github.com/apache/arrow-rs/tree/main/object_store
obstack,8597,910,2020-09-04T19:25:10.566584Z,2017-08-30T11:27:02.899458Z,0.1.4,"A fast, stack-based allocator, usable for any object",https://github.com/petertodd/rust-obstack/
odbc,190842,10761,2020-05-09T14:20:13.913529Z,2016-02-19T13:51:24.446669Z,0.17.0,ODBC wrapper for idiomatic Rust,https://github.com/Koka/odbc-rs
office,17909,2409,2016-11-09T05:26:37.254790Z,2016-11-08T01:21:47.116387Z,0.8.1,See 'calamine' crate. Contact me for 'office' ownership,https://github.com/tafia/calamine
olm-sys,159080,7538,2022-06-11T18:07:52.427352Z,2018-03-31T23:19:15.389686Z,1.3.2,Low level binding for libolm,https://gitlab.gnome.org/BrainBlasted/olm-sys
once_cell,420442391,63889246,2025-03-28T17:15:56.184274Z,2018-08-02T00:12:48.969947Z,1.21.3,Single assignment cells and lazy values.,https://github.com/matklad/once_cell
openh264-sys2,129296,23032,2025-03-24T20:15:48.588093Z,2021-09-03T12:01:19.502446Z,0.8.1,Low-level bindings for OpenH264.,https://github.com/ralfbiedert/openh264-rust
openpgp-card-sequoia,37970,5333,2024-06-05T07:01:49.853163Z,2021-06-30T20:40:53.652076Z,0.2.2,Wrapper of openpgp-card for use with Sequoia PGP,https://gitlab.com/openpgp-card/openpgp-card
openslide,6461,1516,2018-11-19T22:37:55.164852Z,2018-06-22T12:04:16.673277Z,0.2.0,Rust bindings to the OpenSlide C library,https://github.com/ojskrede/openslide-rust
openssl,158282763,23857802,2025-04-04T12:52:48.999808Z,2014-11-21T06:54:00.684701Z,0.10.72,OpenSSL bindings,https://github.com/sfackler/rust-openssl
openssl-src,38767047,8045299,2025-02-11T16:04:11.333871Z,2017-08-29T04:49:53.890414Z,300.4.2+3.4.1,"Source of OpenSSL and logic to build it.
",https://github.com/alexcrichton/openssl-src-rs
opentelemetry_api,24436938,3171774,2023-07-29T21:19:27.301558Z,2019-06-27T22:58:05.309354Z,0.20.0,OpenTelemetry is a metrics collection and distributed tracing framework,https://github.com/open-telemetry/opentelemetry-rust
oqs,74157,7592,2025-01-30T15:33:06.952020Z,2017-12-08T15:03:33.847442Z,0.10.1,A Rusty interface to Open-Quantum-Safe's liboqs,https://github.com/open-quantum-safe/liboqs-rust
orbtk,210086,9910,2022-03-25T07:03:30.408932Z,2015-12-16T18:46:55.052852Z,0.3.1-alpha4,The Orbital Widget Toolkit,https://github.com/redox-os/orbtk
ordered-float,125785262,22138069,2025-02-17T23:54:22.687988Z,2014-11-11T06:37:25.077211Z,5.0.0,Wrappers for total ordering on floats,https://github.com/reem/rust-ordered-float
ordnung,3751,449,2020-04-20T21:25:50.943953Z,2020-04-20T17:27:41.142111Z,0.0.1,"Fast, vector-based map implementation that preserves insertion order.",https://github.com/maciejhirsz/ordnung
orion,6175139,553174,2025-03-01T11:27:11.542725Z,2018-02-18T15:41:45.725789Z,0.17.9,"Usable, easy and safe pure-Rust crypto",https://github.com/orion-rs/orion
os_socketaddr,164301,19664,2023-06-26T19:11:57.318662Z,2018-04-28T18:36:11.909507Z,0.2.5,A type for handling platform-native socket addresses (struct sockaddr),https://github.com/a-ba/os_socketaddr
os_str_bytes,105486347,9980590,2025-02-21T03:57:36.408573Z,2019-11-28T22:56:27.497950Z,7.1.0,"Lossless functionality for platform-native strings
",https://github.com/dylni/os_str_bytes
ouch,29108,5902,2023-12-05T16:21:37.657517Z,2021-03-24T05:18:59.914703Z,0.5.1,A command-line utility for easily compressing and decompressing files and directories.,https://github.com/ouch-org/ouch
ouroboros,31155123,5869481,2025-01-11T04:16:42.134017Z,2020-09-20T00:54:06.963212Z,0.18.5,"Easy, safe self-referential struct generation.",https://github.com/someguynamedjosh/ouroboros
out-reference,3421,440,2021-01-20T15:26:44.723658Z,2019-01-09T20:01:06.004777Z,0.2.0,out references,
outer_cgi,7889,1168,2023-10-20T03:57:45.714221Z,2019-06-03T10:40:44.637959Z,0.3.1,A barebones CGI/FCGI wrapper.,https://github.com/SolraBizna/outer_cgi
owning_ref,17508272,435819,2020-02-27T05:48:49.191192Z,2015-07-26T13:02:29.648958Z,0.4.1,A library for creating references that carry their owner with them.,https://github.com/Kimundi/owning-ref-rs
ozone,4577,512,2017-09-22T12:01:43.475434Z,2015-06-23T04:35:25.166545Z,0.1.0,Pure-rust key/value store based on BoltDB,https://github.com/bqv/ozone
paillier-zk,14474,2748,2024-09-26T10:15:40.405960Z,2023-11-24T16:50:39.728396Z,0.4.2,ZK-proofs for Paillier encryption scheme,https://github.com/LFDT-Lockness/paillier-zk
pancurses,336162,23579,2021-09-29T17:40:08.753881Z,2016-03-20T09:42:49.103055Z,0.17.0,"pancurses is a curses libary for Rust that supports both Unix and Windows
platforms by abstracting away the backend that it uses
(ncurses-rs and pdcurses-sys respectively).
",https://github.com/ihalila/pancurses
parc,3683,442,2019-11-08T12:06:25.987014Z,2019-11-05T17:21:45.357291Z,1.0.1,Rust crate for cancellable time based contracts in async/await,https://github.com/hyyking/rustracts/tree/master/parc
pared,5646,1197,2025-03-13T13:49:58.720375Z,2023-07-16T16:24:05.912681Z,0.4.0,Projected reference counted pointers,https://github.com/radekvit/pared
parity-util-mem,4736096,335860,2022-09-20T13:06:58.449209Z,2019-05-31T19:25:03.919109Z,0.12.0,Collection of memory related utilities,https://github.com/paritytech/parity-common
parity-wasm,11279264,834885,2022-05-26T11:28:32.718825Z,2017-04-12T19:39:41.562712Z,0.45.0,WebAssembly low-level format library,https://github.com/paritytech/parity-wasm
parse_duration,1984543,90987,2021-03-25T04:51:45.223082Z,2017-08-14T09:25:12.632648Z,2.1.1,Parses a duration from a string.,https://github.com/zeta12ti/parse_duration/
partial_sort,3197837,557625,2024-12-07T15:49:03.779826Z,2021-02-25T14:16:30.229210Z,1.0.0,This library provide a Rust version std::partial_sort,https://github.com/sundy-li/partial_sort
paste,191399612,30915786,2024-05-07T01:50:22.784771Z,2018-11-01T02:52:18.319383Z,1.0.15,Macros for all your token pasting needs,https://github.com/dtolnay/paste
personnummer,7364,1334,2022-09-30T13:55:25.726522Z,2021-05-13T23:54:56.628448Z,3.1.1,Validate Swedish personal identity numbers,https://github.com/personnummer/rust
phonenumber,4004224,697745,2025-01-11T12:50:24.664453Z,2017-07-31T10:23:48.600803Z,0.3.7+8.13.52,"Library for parsing, formatting and validating international phone numbers.",https://github.com/whisperfish/rust-phonenumber
pkcs11,501453,39638,2020-04-20T06:00:24.567787Z,2017-11-09T00:50:10.636847Z,0.5.0,Rust PKCS#11 Library,https://github.com/mheese/rust-pkcs11
pleaser,39531,6578,2024-09-06T19:24:23.828301Z,2020-08-23T18:15:45.901352Z,0.5.6,"please, a polite regex-first sudo alternative",https://gitlab.com/edneville/please
plutonium,19479,2416,2020-08-28T15:12:26.825907Z,2020-02-20T00:15:02.277182Z,0.5.2,Tools to avoid unnecessary use of safe code.,https://github.com/mxxo/plutonium
pnet,4528039,499140,2024-05-30T17:53:57.752287Z,2014-11-20T21:57:33.456547Z,0.35.0,"Cross-platform, low level networking using the Rust programming language.",https://github.com/libpnet/libpnet
pnet_packet,7258391,902933,2024-05-30T17:52:59.352451Z,2017-10-30T18:50:41.613360Z,0.35.0,"Cross-platform, binary packet parsing and manipulation",https://github.com/libpnet/libpnet
portaudio,426648,46816,2024-10-13T16:33:21.791196Z,2014-11-20T22:28:56.569437Z,0.8.0,PortAudio bindings for Rust.,https://github.com/RustAudio/rust-portaudio.git
portaudio-rs,93132,5912,2020-05-14T12:20:07.754528Z,2017-03-06T22:01:08.264307Z,0.3.2,PortAudio bindings for Rust,
postscript,361385,127994,2024-12-21T07:56:11.073034Z,2015-08-13T13:08:48.567472Z,0.18.4,The package provides a parser of PostScript fonts.,https://github.com/bodoni/postscript
pprof,14853839,4476625,2024-11-08T06:28:56.250073Z,2019-11-04T03:29:16.405748Z,0.14.0,An internal perf tools for rust programs.,https://github.com/tikv/pprof-rs
pqcrypto-dilithium,39970,5366,2023-10-16T14:57:09.487802Z,2019-07-09T15:08:40.288866Z,0.5.0,Post-Quantum Signature Scheme dilithium,https://github.com/rustpq/pqcrypto/
pqcrypto-kyber,787461,120056,2024-01-25T11:02:41.188398Z,2019-04-03T13:03:40.125823Z,0.8.1,Post-Quantum Key-Encapsulation Mechanism kyber,https://github.com/rustpq/pqcrypto/
pqc_kyber,368422,16185,2023-08-23T02:22:23.045863Z,2021-05-24T02:42:45.511800Z,0.7.1,A rust implementation of the post-quantum Kyber KEM algorithm,https://github.com/Argyle-Software/kyber
prettytable-rs,11820536,1260826,2022-12-27T10:39:23.283494Z,2015-06-17T21:43:24.553194Z,0.10.0,A library for printing pretty formatted tables in terminal,https://github.com/phsym/prettytable-rs
proc-macro-error,165283754,19271381,2020-07-31T18:08:20.096247Z,2019-07-11T07:51:11.667268Z,1.0.4,Almost drop-in replacement to panics in proc-macros,https://gitlab.com/CreepySkeleton/proc-macro-error
prost,164181687,36196496,2025-02-12T06:59:20.501505Z,2017-06-25T07:39:15.991516Z,0.13.5,A Protocol Buffers implementation for the Rust Language.,https://github.com/tokio-rs/prost
prost-types,133520683,28432632,2025-02-12T06:59:33.702587Z,2017-09-10T19:19:37.407643Z,0.13.5,Prost definitions of Protocol Buffers well known types.,https://github.com/tokio-rs/prost
protobuf,51403144,6908252,2025-03-10T14:07:03.378871Z,2014-11-21T00:30:41.855088Z,4.31.0-beta1,"Rust implementation of Google protocol buffers
",https://github.com/stepancheg/rust-protobuf/
pty,224220,4330,2017-06-25T04:48:33.979783Z,2015-07-02T02:14:01.098707Z,0.2.2,Fork with new pseudo-terminal (PTY),https://github.com/hibariya/pty-rs
puccinier,7646,1258,2024-03-31T02:04:28.415517Z,2022-08-14T00:36:20.729258Z,1.0.5+deprecated,Generate the other Catppuccin flavours off a template file written in one of them,https://github.com/catppuccin/toolbox
pyo3,72006500,16632767,2025-03-31T21:06:18.192069Z,2017-07-23T18:28:44.917432Z,0.24.1,Bindings to Python interpreter,https://github.com/pyo3/pyo3
qcell,259535,35627,2023-07-13T16:38:06.313565Z,2019-02-28T16:34:37.715351Z,0.5.4,Statically-checked alternatives to RefCell and RwLock,https://github.com/uazu/qcell
quic-p2p,54609,2425,2020-10-22T11:04:51.913053Z,2019-04-11T17:07:58.765453Z,0.7.1,Peer-to-peer networking library using QUIC,https://github.com/maidsafe/qp2p
quickersort,123513,4308,2018-01-30T18:42:53.191635Z,2015-07-30T22:24:01.048139Z,0.0.0,"Fast sorting compatible with stable Rust.
Also has (optional) support for efficient and robust sorting of floating point numbers.",https://github.com/notriddle/quickersort
quinn,37101255,14076468,2025-03-18T09:41:37.623888Z,2018-10-02T20:18:56.824108Z,0.11.7,Versatile QUIC transport protocol implementation,https://github.com/quinn-rs/quinn
quinn-proto,39429390,14121559,2025-03-18T09:41:15.343315Z,2018-10-02T20:17:22.135216Z,0.11.10,State machine for the QUIC transport protocol,https://github.com/quinn-rs/quinn
qwutils,7104,852,2021-02-04T13:12:42.922589Z,2020-04-13T19:26:10.713574Z,0.3.1,some utilities,https://github.com/qwertz19281/rust_utils
r2d2_odbc,12934,1405,2019-12-18T17:55:50.451084Z,2018-02-21T10:58:51.701748Z,0.5.0,ODBC support for the r2d2 connection pool,https://github.com/Koka/r2d2-odbc
rage,102148,8974,2024-12-18T15:35:24.817673Z,2018-09-18T01:08:42.918408Z,0.11.1,"[BETA] A simple, secure, and modern encryption tool.",https://github.com/str4d/rage
rand_core,502514016,72952666,2025-03-01T14:01:08.459817Z,2017-09-14T12:02:18.709038Z,0.9.3,"Core random number generator traits and tools for implementation.
",https://github.com/rust-random/rand
raw-cpuid,47221291,10298133,2025-03-04T19:48:51.996701Z,2015-03-24T19:38:22.010720Z,11.5.0,"A library to parse the x86 CPUID instruction, written in rust with no external dependencies. The implementation closely resembles the Intel CPUID manual description. The library does only depend on libcore.",https://github.com/gz/rust-cpuid
rcu_cell,29103,4585,2024-12-27T08:24:54.525155Z,2018-09-26T08:36:14.652723Z,1.2.0,a lockless rcu cell implementation,https://github.com/Xudong-Huang/rcu_cell
rdiff,6856,635,2016-09-07T23:30:45.555440Z,2016-08-04T18:41:34.504966Z,0.1.2,A library for tracking changes to a file over time,https://github.com/dyule/rdiff
reffers,18097,2169,2022-01-29T10:18:19.587247Z,2016-09-14T11:58:45.787684Z,0.7.0,"Smart pointers: ARef, that allows even further owner erasure than OwningRef. Strong is a memory efficient Rc + RefCell in one. And more!",https://github.com/diwic/reffers-rs
regex,416059869,53873321,2024-10-24T14:17:06.057437Z,2014-12-13T22:10:11.303311Z,1.11.1,"An implementation of regular expressions for Rust. This implementation uses
finite automata and guarantees linear time matching on all inputs.
",https://github.com/rust-lang/regex
remove_dir_all,95652546,5028262,2024-11-22T13:28:04.656448Z,2017-03-29T00:02:22.651612Z,1.0.0,"A safe, reliable implementation of remove_dir_all for Windows",https://github.com/XAMPPRocky/remove_dir_all.git
renderdoc,121432,12327,2024-03-02T02:21:30.671533Z,2017-10-12T03:20:32.003367Z,0.12.1,RenderDoc application bindings for Rust,https://github.com/ebkalderon/renderdoc-rs
rental,2336994,32026,2021-05-01T23:22:36.642491Z,2016-11-23T10:30:47.252592Z,0.5.6,"A macro to generate safe self-referential structs, plus premade types for common use cases.",https://github.com/jpernst/rental
reorder,15370,1927,2022-03-26T22:26:13.244128Z,2018-12-12T02:45:16.789711Z,2.1.3,Reorder a slice based on a slice of indices,https://github.com/tiby312/reorder
resolve,95268,3531,2018-02-16T22:14:55.873371Z,2015-08-20T19:13:19.248273Z,0.2.0,DNS communication protocol,https://github.com/murarth/resolve
rgb,28748134,6616055,2024-08-31T03:07:05.678857Z,2016-06-18T17:02:02.336922Z,0.8.90-alpha.2,"`struct RGB/RGBA/etc.` for sharing pixels between crates + convenience methods for color manipulation.
Allows no-copy high-level interoperability. Also adds common convenience methods and implements standard Rust traits to make `RGB`/`RGBA` pixels and slices first-class Rust objects.",https://github.com/kornelski/rust-rgb
ring,223302971,42825551,2025-03-11T19:42:03.889273Z,2016-08-15T22:39:18.912891Z,0.17.14,An experiment.,https://github.com/briansmith/ring
rio,3799000,49548,2020-08-21T09:39:56.646854Z,2018-05-04T09:15:42.438540Z,0.9.4,GPL-3.0 nice bindings for io_uring. MIT/Apache-2.0 license is available for spacejam's github sponsors.,https://github.com/spacejam/rio
rkyv,35095787,8224178,2025-01-22T17:52:21.712456Z,2020-11-11T16:36:21.012106Z,0.8.10,Zero-copy deserialization framework for Rust,https://github.com/rkyv/rkyv
rmp-serde,39029323,9508325,2024-04-30T13:47:27.647844Z,2015-08-24T12:49:26.519905Z,1.3.0,Serde bindings for RMP,https://github.com/3Hren/msgpack-rust
rmpv,4901927,929588,2024-04-30T13:20:38.481790Z,2017-01-05T13:16:39.060492Z,1.3.0,Value variant for RMP,https://github.com/3Hren/msgpack-rust
rocket,6431373,557594,2024-05-23T20:35:24.403919Z,2016-12-23T13:09:40.202029Z,0.5.1,"Web framework with a focus on usability, security, extensibility, and speed.
",https://github.com/rwf2/Rocket
rocksdb,22863178,4001853,2024-12-24T11:08:00.018011Z,2014-11-29T07:22:18.358594Z,0.23.0,Rust wrapper for Facebook's RocksDB embeddable database,https://github.com/rust-rocksdb/rust-rocksdb
rosenpass,19864,3364,2024-06-10T15:53:49.509569Z,2023-02-24T10:31:24.663664Z,0.2.2,Build post-quantum-secure VPNs with WireGuard!,https://github.com/rosenpass/rosenpass
routing,417493,19194,2020-12-01T11:09:09.234046Z,2015-04-12T19:26:48.542698Z,0.37.1,A secured storage DHT,https://github.com/maidsafe/routing
rsa,60721142,19259384,2025-03-12T17:11:19.673474Z,2018-07-24T08:31:14.033066Z,0.10.0-pre.4,Pure Rust RSA implementation,https://github.com/RustCrypto/RSA
rsa-export,98819,8872,2021-03-29T15:12:37.267801Z,2020-02-25T18:30:55.104986Z,0.3.3,"Export keys generated by the ""rsa"" crate into the PKCS#1 or PKCS#8 format",https://gitlab.com/smallglitch/rsa-export
rulex,10032,1636,2022-08-24T19:23:11.422444Z,2022-03-11T15:42:35.890390Z,0.4.4,DEPRECATED: Use pomsky instead. A new regular expression language,https://github.com/rulex-rs/pomsky
rulinalg,606929,31826,2017-02-17T20:35:45.526634Z,2016-07-08T21:49:00.240579Z,0.4.2,A linear algebra library.,https://github.com/AtheMathmo/rulinalg
rusb,3035178,491814,2024-04-27T15:43:26.949530Z,2019-07-28T09:10:15.972981Z,0.9.4,Rust library for accessing USB devices.,https://github.com/a1ien/rusb.git
rusoto_credential,15201926,557060,2022-04-25T03:45:41.872028Z,2016-11-23T03:32:47.325742Z,0.48.0,AWS credential tooling,https://github.com/rusoto/rusoto
ruspiro-singleton,21921,2376,2021-09-06T15:30:10.288774Z,2019-07-29T15:58:34.198310Z,0.4.3,Simple and easy to use singleton pattern,https://github.com/RusPiRo/ruspiro-singleton/tree/v0.4.3
rusqlite,29015088,4316556,2025-03-05T17:35:38.432966Z,2014-11-21T14:53:31.345189Z,0.34.0,Ergonomic wrapper for SQLite,https://github.com/rusqlite/rusqlite
rust-crypto,5466118,187918,2016-05-20T05:40:27.059177Z,2014-11-21T05:12:08.928592Z,0.2.36,A (mostly) pure-Rust implementation of various common cryptographic algorithms.,https://github.com/DaGenix/rust-crypto/
